"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Open Access"
"DECIDE: DevOps for Trusted, Portable and Interoperable Multi-cloud Applications Towards the Digital Single Market","https://scispace.com/papers/decide-devops-for-trusted-portable-and-interoperable-multi-5amb0rzvim","2019","Book Chapter","Product Focused Software Process Improvement","Leire Orue-Echevarria
Juncal Alonso
Marisa Escalante
Kyriakos Stefanidis
Lorenzo Blasi","10.1007/978-3-030-35333-9_45","https://scispace.com/pdf/decide-devops-for-trusted-portable-and-interoperable-multi-5amb0rzvim.pdf","Yes"
"Security as code: Transforming DevSecOps through CI/CD Integration","https://scispace.com/papers/security-as-code-transforming-devsecops-through-ci-cd-vardsilu587c","2025","Journal Article","World Journal of Advanced Engineering Technology and Sciences","Sundeep Vijayaraghavan","10.30574/wjaets.2025.15.1.0446","","No"
"Secure DevOps Pipelines for Continuous Compliance in Oracle– Cassandra Hybrid Systems","https://scispace.com/papers/secure-devops-pipelines-for-continuous-compliance-in-oracle-i9q7hybh6xez","2024","Journal Article","","Sai Vamsi Kiran Gummadi","10.62643/ijerst.v20.n4.pp300-307","","No"
"A Survey of Policy-Based Management Approaches for Service Oriented Systems","https://scispace.com/papers/a-survey-of-policy-based-management-approaches-for-service-2i1ferk8na","2008","Proceedings Article","Australian Software Engineering Conference","Tan Phan
Jun Han
Jean-Guy Schneider
T. Ebringer
T. Rogers","10.1109/ASWEC.2008.4483228","https://scispace.com/https://researchbank.swinburne.edu.au/file/e5f7c797-0847-4f18-8dac-47df7954bfd3/1/PDF (Published version).pdf","No"
"Policy modeling and compliance verification in enterprise software systems: A survey","https://scispace.com/papers/policy-modeling-and-compliance-verification-in-enterprise-3ac6ykosor","2012","Proceedings Article","","George Chatzikonstantinou
Kostas Kontogiannis","10.1109/MESOCA.2012.6392600","","No"
"Software Engineering in a Governed World: Opportunities and Challenges","https://scispace.com/papers/software-engineering-in-a-governed-world-opportunities-and-59lyet95sl","2020","Proceedings Article","International Conference on Software Engineering","R. P. Jagadeesh Chandra Bose
Kapil Singi
Vikrant Kaulgud
Sanjay Podder
Adam P. Burden","10.1145/3387940.3392270","","No"
"Towards a compliance support framework for global software companies","https://scispace.com/papers/towards-a-compliance-support-framework-for-global-software-3nicm99uos","2007","Proceedings Article","International Conference on Software Engineering","AbdelKrim Hamou-Lhadj
Abdelwahab Hamou-Lhadj","","","Yes"
"Compliance adherence in distributed software delivery: a blockchain approach","https://scispace.com/papers/compliance-adherence-in-distributed-software-delivery-a-24qq5ie2g4","2018","Proceedings Article","International Conference on Global Software Engineering","Kapil Singi
Pradeepkumar D S
Vikrant Kaulgud
Sanjay Podder","10.1145/3196369.3196383","","No"
"Automated compliance policy enforcement in software systems","https://scispace.com/papers/automated-compliance-policy-enforcement-in-software-systems-30koj69660","2008","Patent","","Nitin Jain
Amit Bhalla
Anurag Singh
Aawardhan Logandan
Sourav Mukherjee","","","No"
"Governance Policies for Verification and Validation of Service Choreographies .","https://scispace.com/papers/governance-policies-for-verification-and-validation-of-4cqsbf890u","2012","Book Chapter","International Conference on Web Information Systems and Technologies","Antonia Bertolino
Guglielmo De Angelis
Andrea Polini","10.1007/978-3-642-36608-6_6","","No"
"A Security Compliance-by-Design Framework Utilizing Reusable Formal Models","https://scispace.com/papers/a-security-compliance-by-design-framework-utilizing-reusable-18howcgbbl","2023","Proceedings Article","","Quentin Rouland
Stojanche Gjorcheski
Jason Jaskolka","10.1109/qrs-c60940.2023.00054","","No"
"Embracing policy engineering","https://scispace.com/papers/embracing-policy-engineering-1rigry7qg9","2010","Proceedings Article","International Conference on Software Engineering","Kathi Fisler
Shriram Krishnamurthi
Daniel J. Dougherty","10.1145/1882362.1882385","https://scispace.com/pdf/embracing-policy-engineering-1rigry7qg9.pdf","No"
"Security Policy Enforcement and Behavioral Threat Detection in DevSecOps Pipelines","https://scispace.com/papers/security-policy-enforcement-and-behavioral-threat-detection-rq4gc9he8czw","2022","Journal Article","European journal of technology","Khaja Kamaluddin","10.47672/ejt.2723","","No"
"Towards Software Compliance Specification and Enforcement Using TOSCA.","https://scispace.com/papers/towards-software-compliance-specification-and-enforcement-00nvuxxt4hjb","","","","Mohammed Mubarkoot
Jörn Altmann","10.1007/978-3-030-92916-9_14","","No"
"Enforcing system-wide properties","https://scispace.com/papers/enforcing-system-wide-properties-2jh8ychfw3","2004","Proceedings Article","Australian Software Engineering Conference","Michael Eichberg
M. Meizini
Thorsten Schäfer
C. Beringer
K.M. Hamel","10.1109/ASWEC.2004.1290468","","No"
"Compliance-as-Code for Cybersecurity Automation in Hybrid Cloud","https://scispace.com/papers/compliance-as-code-for-cybersecurity-automation-in-hybrid-201xbkns","2022","Proceedings Article","IEEE International Conference on Cloud Computing","Vikas Agarwal
Chris Butler
Louis R. Degenaro
Arun Kumar
Anca Sailer
Gosia Steinder","10.1109/CLOUD55607.2022.00066","","No"
"Policy-driven infrastructure hardening using CI/CD pipelines in enterprise environments","https://scispace.com/papers/policy-driven-infrastructure-hardening-using-ci-cd-pipelines-9yycoys92c3h","2022","Journal Article","International Journal of Science and Research Archive","Rohith Aitharaju","10.30574/ijsra.2022.7.1.0280","","No"
"An End-to-End Framework for Business Compliance in Process-Driven SOAs","https://scispace.com/papers/an-end-to-end-framework-for-business-compliance-in-process-mc64ta2n3i","2010","Proceedings Article","Symbolic and Numeric Algorithms for Scientific Computing","Huy Tran
Ta'id Holmes
Ernst Oberortner
Emmanuel Mulo
Agnieszka Betkowska Cavalcante
Jacek Serafinski
Marek Tluczek
Aliaksandr Birukou
Florian Daniel
Patrícia Silveira
Uwe Zdun
Schahram Dustdar","10.1109/SYNASC.2010.52","https://scispace.com/pdf/an-end-to-end-framework-for-business-compliance-in-process-mc64ta2n3i.pdf","No"
"Demystifying Enterprise Infrastructure in FinTech: Introductory Framework to Platform Engineering, Hybrid Cloud, and Regulatory Compliance","https://scispace.com/papers/demystifying-enterprise-infrastructure-in-fintech-3btg2ojzapjo","2025","Journal Article","European journal of computer science and information technology","Satish Manchana","10.37745/ejcsit.2013/vol13n4191110","","No"
"A governance framework model for cloud computing: role of AI, security, compliance, and management","https://scispace.com/papers/a-governance-framework-model-for-cloud-computing-role-of-ai-3v3vfumr6lq5","2024","Journal Article","World Journal Of Advanced Research and Reviews","Adebola Folorunso
Adeola Adewa
Daniel Olatunde Babalola
Chineme Edgar Nwatu","10.30574/wjarr.2024.24.2.3513","","No"
"Methods and systems for managing regulatory governance and compliance","https://scispace.com/papers/methods-and-systems-for-managing-regulatory-governance-and-gt3xyohe6z","2015","Patent","","Oscar Andres Jofre
Liam Lynch
Vlado Sinkovic
Jason Richard Futko
Gregory William Harper","","","No"
"Policy-guided software evolution","https://scispace.com/papers/policy-guided-software-evolution-20ne4sps3x","2003","Proceedings Article","International Conference on Software Maintenance","Nazim H. Madhavji
Josée Tassé","10.1109/ICSM.2003.1235408","","No"
"Cloud-Native Design Patterns for Highly Regulated Environments","https://scispace.com/papers/cloud-native-design-patterns-for-highly-regulated-bas465h3pyi4","2025","Journal Article","","Anusha Joodala","10.71097/ijsat.v16.i3.7867","","No"
"Compliance in service-oriented architectures: A model-driven and view-based approach","https://scispace.com/papers/compliance-in-service-oriented-architectures-a-model-driven-41qjhwzfzp","2012","Journal Article","Information & Software Technology","Huy Tran
Uwe Zdun
Ta'id Holmes
Ernst Oberortner
Emmanuel Mulo
Schahram Dustdar","10.1016/J.INFSOF.2012.01.001","https://scispace.com/pdf/compliance-in-service-oriented-architectures-a-model-driven-41qjhwzfzp.pdf","No"
"Unifying Governance, Risk and Controls Framework Using SDLC, CICD and DevOps","https://scispace.com/papers/unifying-governance-risk-and-controls-framework-using-sdlc-149wfu1wn0","2023","Journal Article","","Sai Alekhya Ganugapati
Sandeep Prabhu","10.1109/icces57224.2023.10192730","","No"
"AWS Compliance Acceleration: Integrating Preventive, Detective, and Corrective Controls for Robust Cloud Governance","https://scispace.com/papers/aws-compliance-acceleration-integrating-preventive-detective-wzql0inarm1j","2025","Journal Article","European modern studies journal","Parag Gurunath Sakhalkar","10.59573/emsj.9(5).2025.77","https://scispace.com/pdf/aws-compliance-acceleration-integrating-preventive-detective-wzql0inarm1j.pdf","No"
"Developing and Enforcing Policies for Access Control, Resource Usage, and Adaptation - A Practical Approach","https://scispace.com/papers/developing-and-enforcing-policies-for-access-control-4vms7135ie","2013","Book Chapter","Web Services and Formal Methods","Andrea Margheri
Andrea Margheri
Massimiliano Masi
Rosario Pugliese
Francesco Tiezzi","10.1007/978-3-319-08260-8_6","https://scispace.com/pdf/developing-and-enforcing-policies-for-access-control-4vms7135ie.pdf","No"
"A Model Centric Framework and Approach for Complex Systems Policy","https://scispace.com/papers/a-model-centric-framework-and-approach-for-complex-systems-4js4y0w2oo","2021","Journal Article","IEEE Systems Journal","Shamsnaz Virani Bhada
Rahul Krishnan","10.1109/JSYST.2020.3003204","https://scispace.com/pdf/a-model-centric-framework-and-approach-for-complex-systems-4js4y0w2oo.pdf","Yes"
"Enhancing Secure Software Development with AZTRM-D: An AI-Integrated Approach Combining DevSecOps, Risk Management, and Zero Trust","https://scispace.com/papers/enhancing-secure-software-development-with-aztrm-d-an-ai-q7i7z3p0jc1h","2025","Journal Article","Applied Sciences","Ian Coston
Karl David Hezel
Eadan Plotnizky
Mehrdad Nojoumian","10.3390/app15158163","","No"
"Policy-driven governance in cloud service ecosystems","https://scispace.com/papers/policy-driven-governance-in-cloud-service-ecosystems-5fcs2gkvvu","2016","Dissertation","","Dimitrios Kourtesis","","","Yes"
"EAGER: Deployment-Time API Governance for Modern PaaS Clouds","https://scispace.com/papers/eager-deployment-time-api-governance-for-modern-paas-clouds-3qqn1jnwxb","2015","Proceedings Article","IEEE International Conference on Cloud Engineering","Hiranya Jayathilaka
Chandra Krintz
Rich Wolski","10.1109/IC2E.2015.69","","Yes"
"Context Model Based SOA Policy Framework","https://scispace.com/papers/context-model-based-soa-policy-framework-3j5n930dyj","2010","Proceedings Article","International Conference on Web Services","Yu Chen Zhou
Xin Peng Liu
Xi Ning Wang
Liang Xue
Chen Tian
Xiao Xing Liang","10.1109/ICWS.2010.115","","No"
"Compliance policy management systems and methods","https://scispace.com/papers/compliance-policy-management-systems-and-methods-10d3id564f","2008","Patent","","David S. Tyree
James E. Tomlinson","","","No"
"Policy management: an architecture and approach","https://scispace.com/papers/policy-management-an-architecture-and-approach-2oqa2dlr9w","1993","Proceedings Article","","M.J. Maullo
S.B. Calo","10.1109/IWSM.1993.315293","https://ieeexplore.ieee.org/iel2/915/7607/00315293.pdf","No"
"Continuous Compliance: Experiences, Challenges, and Opportunities","https://scispace.com/papers/continuous-compliance-experiences-challenges-and-txho7p8d2u","2018","Proceedings Article","World Congress on Services","Robert Filepp
Constantin Adam
Milton H. Hernandez
Maja Vukovic
Nikos Anerousis
Guan Qun Zhang","10.1109/SERVICES.2018.00029","","No"
"Guest Editors' Introduction: Software Engineering for Compliance","https://scispace.com/papers/guest-editors-introduction-software-engineering-for-1175vm06en","2012","Journal Article","IEEE Software","Uwe Zdun
Ayse Bener
Erlinda L. Olalia-Carin","10.1109/MS.2012.63","","No"
"Policy Verification and Validation Framework Based on Model Checking Approach","https://scispace.com/papers/policy-verification-and-validation-framework-based-on-model-4u6ntzpj9h","2007","Proceedings Article","International Conference on Autonomic Computing","Shinji Kikuchi
Satoshi Tsuchiya
Motomitsu Adachi
Tsuneo Katsuyama","10.1109/ICAC.2007.31","","No"
"Configuration and compliance automation in modern networks: A framework for enhanced security and operational efficiency","https://scispace.com/papers/configuration-and-compliance-automation-in-modern-networks-a-ujdjseb3ptk4","2025","Journal Article","World Journal of Advanced Engineering Technology and Sciences","Suresh Reddy Thati","10.30574/wjaets.2025.15.2.0613","","No"
"System and method for achieving compliance through a closed loop integrated compliance framework and toolkit","https://scispace.com/papers/system-and-method-for-achieving-compliance-through-a-closed-4xiacxozpb","2013","Patent","","Mohanakrishnan Shankar
Gideon Premkumar Manoharan
Amit Saha","","","No"
"A Survey of Policy Specification Approaches","https://scispace.com/papers/a-survey-of-policy-specification-approaches-4mypakyg77","2002","","","Nicodemos Damianou
Arosha K. Bandara
Morris Sloman
Emil Lupu","","https://scispace.com/pdf/a-survey-of-policy-specification-approaches-4mypakyg77.pdf","Yes"
"AI-Driven Governance for DevOps Compliance","https://scispace.com/papers/ai-driven-governance-for-devops-compliance-6s6mucg79a3m","2022","Journal Article","International journal of scientific research in science, engineering and technology","Sandeep Belidhe","10.32628/ijsrset221654","","No"
"Policy management of enterprise systems: a requirements study","https://scispace.com/papers/policy-management-of-enterprise-systems-a-requirements-study-2oahhv35x5","2006","Proceedings Article","IEEE International Workshop on Policies for Distributed Systems and Networks","Pranam Kolari
Tim Finin
Yelena Yesha
Kelly Lyons
Jen Hawkins
Stephen Perelgut","10.1109/POLICY.2006.23","https://scispace.com/pdf/policy-management-of-enterprise-systems-a-requirements-study-2oahhv35x5.pdf","Yes"
"CHOReOS Governance V&V policies and rules (D4.1)","https://scispace.com/papers/choreos-governance-v-v-policies-and-rules-d4-1-4v90fc35f4","2011","","","Antonia Bertolino
Guglielmo De Angelis
Cesare Bartolini
Amira Ben Hamida
Felipe M. Besson
Antonello Calabrò
Flavio Corradini
Francesco De Angelis
Mario Fusani
Fabio Kon
Pedro M.B. Leal
Francesca Lonetti
Daniela Mulas
Andrea Polini
Sarah Zribi","","https://hal.inria.fr/hal-00664273/document","Yes"
"AI-Augmented DevSecOps Toolchains for Compliance-Critical Cloud Applications in Healthcare and Finance","https://scispace.com/papers/ai-augmented-devsecops-toolchains-for-compliance-critical-xwnsqv20bkrh","2025","Journal Article","International Journal of Leading Research Publication.","Sai Nitesh Palamakula -","10.70528/ijlrp.v6.i7.1686","","No"
